query_index,query_review,query_true_sentiment,query_true_length,predicted_sentiment,predicted_length,top_1_similarity,top_1_review,top_1_sentiment,top_1_category
0,"this works so well...leaves my old all metal one in it's dust! careful...sharp and quick...a bit bulky for hanging against a wall, but easy to find in a drawer...",positive,short,positive,medium,0.9468976259231567,work to secure the towers ..these should stop the casual theft but i think they would only be a minor inconvenience to the dedicated thief..easy to install..easy to use.. but as with all yakima accessories ...way over priced..,positive,sports
1,"handles are nice and firm, compared to others that i've have bought",positive,short,positive,short,0.9804612398147583,"the magnets are handy, and you can fit a bunch in a small space.",positive,home
2,"i am a headset junkie, and have tried most and owned many. to date, the discovery 925 is my all time favorite, retiring my 1st generation jawbone, which i reverted to after trying two different examples of the 2nd generation jawbone. both examples were inferior in every way to the original jawbone.i bought the d925 primarily because the hybrid soft silicon metal ear hook on the original jawbone was falling apart, with the rubber separating from the metal. also, the in ear fit of the jawbone was abysmal, which i complained about to the manufacturer and was told that other customers had reported solving this problem by using jabra ear gels from old wired headsets. i had some around, tried them, and they worked, improving the fit and comfort of the jawbone. when the new jawbone was introduced, i bought one, quickly returning it for what i thought was a defective speaker, which was tinny and raspy. the replacement unit was the same, and i returned that as well. the audio quality of the original jawbone was way better than the new, improved model.anyway, i have used the d925 for about a month now, and can report that it is, on balance, the best fitting and sounding bluetooth headset i have tried.ergonomics the default medium ear gel is the perfect fit for me, and the device is completely secure in either ear while remaining comfortable from dark to dark. i was skeptical that it would remain secure without an earhook, but it has never fallen out of either ear yet. and here's a great advantage to the design of this device you can quickly switch it from one ear to the other without changing earhooks! the eargel snugs down into either ear with a quick quarter twist, and removes just as easily. i don't use it, but the device comes with a neck lanyard that can be used to hang the device around the neck. the lanyard attaches into the micro usb charging port. another thing i really like about this device is that you don't have to go around with your ear blinking like a refugee from a borg ship. what good is that feature, really? can you look at your ear while wearing the headset to see if you're connected? all the connection indicator does is distract and irritate others in meetings, or conversational groups. good riddance! i have never used the small volume button on the edge of the unit, preferring to make volume adjustments from my blackberry. the large call answer button comprises the entire vertical surface of the device, and depresses easily and with slight tactile feedback. what a welcome change from the awful call answer button on the jawbone!audio speaker incoming audio is excellent, as good as the jawbone, which is also excellent. no complaints whatsoever.audio microphone outgoing sound quality is excellent, and sensitivity is excellent. see why four stars below. noice cancelling inferior to the jawbone, but still better than any of the other headsets i have used. called parties report some bg noise in busy restaurants or crowded events, but no road noise at freeway speeds. advantage jawbone.radio quality excellent. beats the jawbone in terms of range and quiet signal within close proximity.features a neat little black case contains a battery that will recharge the d925 once without ac. the leather maybe it's leather...doesn't matter case has its own micro usb charger input, and the d925 settles into it and connects through the same micro usb connector used to charge from the ac charger supplied. a standard usb to micro usb cable is also provided for charging from an available pc usb port. large, medium, and small eargels are provided. as with all late design plantronics headsets, pairing is a no brainer, with the device powering up in pairing mode on first use.why four stars, then? because the noise cancellation could be better, and because the d925 like the jawbone is very susceptible to voice blanking in the slightest air current. out in a slight breeze? forget it. find a sheltered area. i have to redirect or turn off the air conditioning in my car when making a call. if any air from the vents hits the device, it voice blanks and your other end caller hears niagara falls. i don't mean to over emphasize this, it isn't a big problem for me, just a minor irritation.i can heartily recommend this device. it's the best i've had or used.",positive,long,negative,long,0.9956222772598267,"i will start by saying that this is the third banner line scope i have owned, and my 9th bushnell scope. i have had excellent luck with their products, and this scope is a great example of why i will continue to use bushnell optics. for the money, the banner line offers good glass and coatings. i like them as much as many of my more expensive scopes. this model impresses me even more than the 6 24x40 banner that i have on my savage mk2 btv. the 6 24 is great, but at the higher powers in low light, the image becomes somewhat dim and eye position is very crucial. that doesn't matter much on a bright day at the range, so it is fine for that rifle, but this 6 18x50 model is so much brighter at all magnification levels, and is much less picky about eye positioning at 18x. the image quality is very good, the coatings are good at controlling flare, and the magnification and parallax rings both turn smoothly enough. everything about this scope seems too good to be true at this price. basically, if you want a scope for long range precision shooting and the lighting may not always be the best, this may be your best choice if you are on a limited budget.the only things i don't like, or think that a potential buyer should consider are this scope is not very heavy for its size, but it is large, and may be too big to look appropriate on some rifles.the scope will require very high rings on most rifles so that the objective bell may clear the barrel. if your stock does not have a raised cheekpiece, you will have trouble getting a good cheek weld. if you have a straight backed stock without a raised cheekpiece, you will want to either modify replace your stock, or go with a scope with a 40mm objective. for a compact rifle with no cheekpad, i can't recommend anything more highly than the super banner 3.5 10x36mm scope. it is one of the most enjoyable and useful scopes i own, because it works equally well on a squirrel rifle, a target gun, or a deer rifle, and doesn't add too much bulk or weight for the quality it delivers.",positive,sports
3,"yeah, i know, they warned me but i thought i was smarter than the average bear not so.if you have auto reverse on your tape player and you cannot shut the feature off, this will not work. it may work for a few minutes at a time, but will always end up frustrating you by switching every few minutes.if you can turn off the auto reverse or don't have it , it's a very solid product that sounded great.for those like me who need a fm transmitter instead of the tape version, i'd suggest the soundkase fm transmitter for ipod mp3s. we've been using it for a week or 2 with good results and from my research, probably the best results you can get if you can't use a tape connection .",positive,long,negative,long,0.9930260181427002,"i'm generally a big oxo fan, but i don't particularly care for these measuring cups, particularly not at this price point.they are stainless steel, which is great, but oxo used that yucky black material that they started using a year or so ago, and it does not despite what they say on the packaging not hold up to dishwasher use.at least not with our bosch. i don't know whether our dishwasher gets particularly hot or something, but this particular black rubberized stuff that oxo uses starts to break down fairly quickly and it ends up leaving black greasy smears on anything it rubs across. yuckadoo.the other thing i don't care for with this set is that they don't nest nicely. if you're like me, you've got some cup hooks where you hang your measuring spoons and measuring cups so you can grab them quickly and get on with cooking. my other measuring sets hang nicely together. with this set the handles are too thick and they won't do that on either my small and large hooks.altogether, these are nicely balanced. if you put them down, the handles don't make them fall over. but this is a set i'll have to hand wash, and despite the fact that these are oxo, i've got to say that you are probably going to be able to find better ones for less money.pam t mom baker in residence",neutral,home
4,"when i bought the previous version that had the swivel clips i wasn't to keen on using it too much. but now that they changed to standard carabineers instead, i decided to buy a second set, which i use more regularly. also i recommend getting the new extra strength orange and purple bands, sold separately. i would say the only drawback may be is that the bands, all bands not just the two mentioned, are a little short for some people, and probably best suited for people in the 5'4 to 5'9 range. i'm not saying people below and above that range shouldn't get a set. let me just make it clear the height range i gave is not a concrete standard. it's just an opinion as to how i feel. i'm 5'11 and i'm very careful how i use my bands. black mountain is a very good company with awesome customer service, and they're always working on improving their products. for the price and some common sense usage it's tough to find a better basic set than this. my previous swivel end set is a souvenir i keep in my closet. i hope they come out with a new set the has all 7 bands, 2 ankle straps instead of just 1, 2 sets of handles that are bigger than what they have now, a door anchor with a cushioned liner, and a really nice bag to put it in. if and when that comes out i'll be getting that for sure and ready to post a 5 star review.",positive,long,negative,long,0.9949916005134583,"review on original purchase i was tasked by my office manager to purchase some headsets to make our office calls easier. i looked at corded headsets, cordless, and a variety of brands, but this unit kept coming up with high praises.the clarity is great, and it has a variety of volume macro and micro for both the mic and earpiece. it works seamlessly with any phone system and has a multitude of connection options. the range allows us to go to the end of our warehouse to look at stock while talking with the customer. not to mention that if i'm not at my desk and the phone rings, i don't have to rush back. i can use both my hands to look up quotes, and stock while i'm on the phone without craning my neck. their are earpieces and over the head options. not to mention the battery life lasts all day as long as you plug it in at night.this order was to add to the existing setup we already had. love these things!",positive,cellphones
5,"i think this is helpful when you master using it...which can take a bit of time if your used to using a knife. having always used just a paring knife to cut and de vein getting the hang of this was a bit of a struggle. i thought, being a bit of a foodie, i quot needed quot this.. need, is a strong word...but i do like this now...the pre cleaned and easy peel shrimp is much more espensive than just the shrimp in the shells...this does make it a bit easier.once i got it, i think i am faster than i was. so since it doesn't take up much space and isn't expensive i think this was a good purchase.that said... its a bit like a grapefruit spoon or melon baller in that it can be very nice to have and extreamly convenient to have under the right circumstances...but as to really needing it.. that is a hard call.",positive,long,positive,long,0.9875775575637817,"there's not much to say that hasn't already been said so i'll make this short. this is my second bluetooth headset. the motorola h700 was the first and i really liked it.pros good sounding audio. very clear and sharp. people hear me very well and don't know i'm on a headset until i tell them. noise cancellation works well. did the dog barking test and it passed. it's comfortable to wear. very lightweight. carrying case that doubles as a charger is excellent. not bad looking. easy to pair and plantronics has a great tutorial online if you need help. ... makes it easy to wear glasses since it doesn't have the earloop.cons for those who wear it while driving like i do and have a nice stereo in their car it dampens the audio from the ear you're wearing it in. the motorola h700 did not do that because it fit on the ear and not in it. of course this only applies to when you're not actually on a call. buttons are small. charging connector is small and directional and therefore difficult to insert at times.overall i think it's a great headset and amazon has buy far, the best prices. i think you'll be happy with it.",positive,cellphones
6,"i wanted a peeler that would work on large items better and bother my hands less. this was that such peeler. great grip, easy use and a durable product. i've had it for about a month and it is by far my favorite food prep tool in my kitchen. much better than anything you'd by in the dollar store. if you want to make short work of a butternut squash, this is the peeler for you.",positive,medium,positive,medium,0.9658141732215881,"i bought this little vegetable scrub brush because i was tired of using paper towels to scrub vegetables every time i cooked them.this brush has been great so far. it has strong bristles and is very easy to handle. i trust highly in the oxo name and haven't been let down by one of their products yet.i highly recommend this product, especially for the price.you can't beat it with amazon prime.",positive,home
7,"i use this unit with my palm treo 700w, which has a pretty lousy bt radio, so that may explain part of the reason why the range is so awful with this headset. max range with clear line of sight is about 6 feet, but usually less then 24 inches. it is barely usable if the phone is on my waist in its holster. major disappointment. my jabra bt250 is better with the treo, but not hugely so.my biggest problem with this headset is that people are constantly telling me that they can't hear me. i have to lift the mic boom away from my cheek and then they will say ah! much better! . when that is only the case while i stand there like a dork with one hand holding the mic boom away from my cheek and the other hand holding the phone within a foot of my head. this looks pretty silly walking down an airport terminal, and rather defeats the purpose of having a headset in the first place...i'll say this, though the h700 performs the feature that i was looking for which was so bad with the jabra bt250 it actually stays on my ear. i have small ear lobes, and the jabra won't stay put if i lean down it falls off. the h700 stays on very well, and you hardly notice it is even there. very comfortable!too bad the mic gets blocked by my cheek, which makes it worthless about 50 of the time. update 5 11 2006 solution to muffled sound problem...i trimmed a tiny piece of adhesive backed felt the kind you put under bowls vases, etc. you will have on your coffee table and placed it on the little gray bump on the boom, just behind the tiny mic opening. this creates an air gap between the mic opening and your cheek problem solved!a great headset with pretty good reception and wonderful form factor. 5 stars if they fix the mic hole clearance problem!",neutral,long,negative,long,0.9941504597663879,"this is my first every bluetooth headset for my cell phone. all this time i managed by not picking up the phone while driving or talking on the phone directly.i then thought now the time is right to try this device.it works great with my iphone 4. pairing was very simple and quick.first i thought how will it stay in the ear without the clip that goes over the ear that i have seen most of the time, but the device is so light and the gel earplug is grips with skin so much that it does not fall off even if i shake my head vigorously.one thing i have noticed is that, if you put the device on the left ear, the usb charging slot is on the underside, while if you put it on the right ear the usb slot is on the upper side, what potentially can happen is, if you walk into lightly raining weather or walk under a tree just after a big rain. any single drop of water could just go through the charger slot easily.the device is so comfortable that i sometimes forget that i am even wearing it.i took a star off due to the horrible horrible plastic packaging.",positive,cellphones
8,this book is good for some one that has taken the wilton class it has some useful tips not really what i wanted yet it's not bad it can be useful,positive,short,neutral,short,0.9665691256523132,we bought this to rinse our quinoa. it's mesh is fineenough to where the product does not leak through.it is not flimsy and seems to be well made.,positive,home
9,"now tsa approved, these are the best. i have a knife collection, and i carry a sog flashback, a gerber dime, and this knife daily. i rarely break out the sog, the dime only gets use due to its excellent package opener, but the classic is in constant use. mostly, i use the tweezers, toothpick, and screwdriver. i bought one for everyone i know!",positive,medium,negative,medium,0.9526218175888062,"been out for a long day and your phone's running low? this thing fits in your pocket. or purse ladies , and will get you through the night. actually, i put it in my daughter's purse as she headed off to prom that was 3 weeks ago, and i haven't seen it since. proves it was the right purchase as she kept her samsung galaxy siii going strong all night.",positive,cellphones
