review_text,overall,sentiment,sentiment_label,review_length_class,length_label,token_count,category
"i first bought a headset for 30. it worked well for about 10 maybe 12 minutes and then fell apart. so, i would not suggest considering anything under 100.unless you consider this one.when i returned my first headset to fry's electronics i asked them what their most popular model was. the sales guy said it was the plantronics 510. i tried it on and it felt really good. i've been using it for about two months now and i love it to pieces. it works as well now as it did the moment i bought it actually, better, because it needed a charging .positives 1 comfort. this was the biggest attribute i was looking for as i wear this a lot. after putting it on i usually forget it is there within two minutes. it is light weight and very easy on the ears. i only remember when somebody calls me and i hear the beeping in my ears. with a flick of the wrist, this easily converts between the left and right ear and both feel extremely comfortable.2 sturdy. i travel a lot and airports are not kind to any belongings, especially ones crammed into a bag. but this thing has taken its lickings and keeps on going. must better than the first one i bought which fell apart over nothing.3 great sound quality. i've used this at airports, casinos, and convention centers. i can always hear my party without any problems and i've never had anybody complain that they can't hear me.4 simple to work. probably the most difficult thing about this is getting it recognized by the phone. and that isn't complicated at all as that only took me 2 minutes, and most of that was searching for directions on how to do it. picking up the phone is as easy as hitting a button.on a side note, i have two bluetooth cellphones and i can switch between the two automatically without any hassle. because of this ease of switching over i am considering getting the phone base so i can use this on my office line at home as well. i know somebody who uses it and she has no problems with it.negatives 1 i wish there was a way to turn off the blinking blue light. it drives me crazy especially while driving at night. half the times i see it blink i think i'm getting pulled over. also, it keeps blinking whether you are using it or not so i usually cover it with a hand towel when it is charging at night. but this seems to be inherent of any bluetooth device.2 ummmm.... i can't think of any other negatives.so, i highly suggest checking this one out. i can't say that this is for everybody because i've learned that no two ears are exactly alike. the biggest thing i was looking for was comfort. while this is completely comfortable for me it might not be for you. but if you find it comfortable then i would highly recommend picking this up over anything else especially since the price is soooo right.",5,positive,2,long,2,518,cellphones
"i found that these were really useful when used in a quiet environment with loud sounds that come periodically, like a gun range. when worn with ear plugs, they amplify speech so you can hear conversations in between shots or bangs.however, when used in an area with high ambient noise engine room, construction site , they function about the same as regular earmuffs because the amplified audio cannot be heard over the ambient noise.pros works well for the rangecons doesn't work well for areas with high levels of ambient noiseoverall 3 5 starsi recommend using rechargeable batteries.",3,neutral,1,long,2,97,sports
"used it to clean mine, my sons in laws and friend's shot gun and it works just perfect. great stuff an d easy to use!",5,positive,2,short,0,25,sports
i'm very happy with this can opener. it has extremely smooth action and is effortless to use...very easy on the wrist! i also like the fact that it's stainless steel so i don't expect it to rust as others have in the past. i read the reviews on this product before i purchased it and do disagree with a few of them. although the can opener works great i have yet to have it completely detach the lid from the can. when the opener has gone completely around the lid there is always a tiny piece of lid attached to the can that i have to twist off. no problem as far as i'm concerned but i'm noting it because other reviews claim the lid is completely removed.,4,positive,2,long,2,128,home
"this is the first expensive headset i have ever gotten.the sound quality it is excellent in most of the environment, but walking outside in the windy time, i still heard the noise. i usually turn the volume up when i use the phone for talking, but i can set to the mid sound level using the headset.comfortable the headset stays in my ear pretty good, but for a long time, i felt a bit of pain. by the way, i used the mid size ear gel.battery life i paired it with nokia n95. it resumed the phone's power more than i used the samsung's headset. and the headset's battery last about 4 days.i recommend this one to all who is looking for a quality headset. you got what you paid for.",5,positive,2,long,2,131,cellphones
"5 stars cap barbell 25 lb standard weight via sports and fitness warehousegood price, good quality, super fast 4days in my house, via sports and fitness warehouse !!!!!!!",5,positive,2,short,0,28,sports
"this put a pretty good blade on my kitchen knife set calphalon the first few times i used it. since then, it seems like it doesn't work at all. i'm using the same recommended technique, but no longer getting any results on my knives.",2,negative,0,medium,1,44,sports
"i am always fascinated by the number of electronic devices the average modern household uses. many of us leave these energy vampires like vcrs, dvds, cell phone chargers and other things, plugged in all day long. they drain our electricity and rack up our electrical bills! how can you know how much money they cost you? the answer is the kill a watt device!p3 p4460 kill a watt ez electricity usage monitor operation of this device is very easy. you lug the kill a watt into your power outlet. then you plug your electronic toy into the kill a watt! that's it! instantly the device starts figuring out how much electricity the electronic object is using even when it is off. a lot of devices like cell phone chargers sit there drawing electricity all day long.for example, i leave my laptop plugged in all day. i have it shut down but it's plugged in. it turns out i'm paying 3.76 a month to have it sitting there. i know that might not sound like a lot, but if you start multiplying that by all the other objects in your house that stay plugged in, it can add up quickly.just how much is that old computer of yours costing you? it might actually be much cheaper to buy a new one that consumes far less electricity, rather than powering the old behemoth every month! you could be amazed at the amount of money you can save, just by unplugging some things when they're not in use. invest in some power strips with on off buttons. turn them to off when the items are not in use, and see your savings soar.i love that you can program in your current electrical cost this is always found on your electrical bill. so for my home in massachusetts that is 0.187 per kwh. the device then lets you see at the touch of a button how much the current object will cost you each hour, each day, each month, each year. the longer you leave the specific item plugged in, the more perfect your reading is, as it averages the device's fluctuations over day and night.highly recommended. this is perfect for any frugal liver, to determine exactly what devices in their homes are energy hogs and to organize what to do about it.",5,positive,2,long,2,389,cellphones
"i got a similar case for my galaxy s3. great and useful case. so i got this one for my galaxy note 2.note this case is not meant to protect your device from falls, etc. it's no otterbox or rubber bumper case. in my case, i didn't want a thick protective case because all of them add significant bulk to the phone. i carry my phone wherever i go and use it in the case on a windshield mount. with thick cases, i need a bigger windshield mount or i need to remove the phone from the case a big inconvenience with this slim case, the phone fits on the windshield mount while in the case.removing the note 2 from this case takes a little effort but you get better at it with practice.the kickstand is very useful for watching videos and or reading at the table while having coffee or eating, etc. it's also useful when ussing an external bluetooth keyboard.one downside, the case makes it such that the buttons power and volume up down take some effort to 34 find 34 without looking. i need to be able to quickly whip out my phone at a moment's notice without looking at it. the case as it is, makes it so that finding those buttons requires a little more effort than without the case and or actually looking at the sides of the phone. this flaw is not entirely the fault of the case i never had this problem with the s3 version of this case. the reason is that the buttons on the note 2 are slightly more forward so they blend in a lot more with the edge of the case.my solution i used a small wire cutter to clip off the edged of the case where it connects the openings for where the buttons are. this did not affect at least in any discernible way the structural integrity of the case as the case is pretty stiff. also, i clipped of the edges to they were nice and smooth and looked like that's how the case was made. now, i can easily 34 find 34 the buttons and use the phone as quickly and effectively as without the case.i would absolutely buy this again and on my next phone, i look forward to getting another.",4,positive,2,long,2,389,cellphones
i just renewed the waterproofing on the awnings of our rv with this product. last time was 8 years ago and we use our rv up to 8 months a year. i also use this product to waterproof our kayaking and outdoor gear.,5,positive,2,medium,1,43,sports
this is a dollar store item and it's his junk instead of waiting two months for it to arrive you can go to your local dollar store and buy it there but even there you will be buying junk you just have to go to the apple store to get quality.,1,negative,0,medium,1,51,cellphones
"the sound quality on this thing is just as good, if not better than advertised. i use a blackberry 8830 and it is known for high amounts of background noise. when using this headset, virtually all background noise is eliminated. best noise reduction headset on the market.only complaint is that my headset disconnects from my phone about 5 times per day with no explanation. doesn't appear to be the phone causing the problem so i may be looking swap this out as defective and get a new one.",5,positive,2,long,2,88,cellphones
"even this is the 2nd course, it is easy to follow. i love the results. i don't sell cakes but make them for friends and family. this is only a hobby so i don't make cakes everyday. i can pick this book up and follow the directions and get great results.",5,positive,2,medium,1,51,home
this was just what i needed to make my old coleman lantern burn like new. after installing the new generator i couldn't believe the difference it made in how the lantern burned. it was as bright as when it was new.,5,positive,2,medium,1,41,sports
"if you haven't used a boresnake you should try it. this product aids in cleaning your weapon quickly and easily. the only drawback i saw is that the line itself is a little short for the barrel i'm using it to clean, making it somewhat difficult to grasp the tip.",5,positive,2,medium,1,50,sports
"i purchased this salad spinner because i moved, and no longer had a roommate to mooch from. it's solidly constructed, and the brake feature is nice. this lets you stop the spinning with the push of a button, instead of sticking your hand in or waiting it out.i have 2 main concerns about this product though 1. i wonder if the push down gearing drive will last longer or shorter than the pull string variety2. it was a bit pricey for a plastic salad spinner 1 2 an xbox game pricey beyond that, now that i have it i'm enjoying it and use it whenever i make salads.",4,positive,2,long,2,108,home
easy to work and clean. love this spinner. would recommend to anyone. very easy to assemble and take care of.,4,positive,2,short,0,20,home
this is the best. car. charge by. motorola. tried. several bought at tmobile and they don't last very long..........................,5,positive,2,short,0,19,cellphones
"easy grip for stability, allowed cutting harder vegetables more easily and alsokept up the speed of chopping, i recommend this item for your everyday chopping.",4,positive,2,short,0,25,home
i was skptical at first using only one product for three jobs but so far so good. i've cleaned and recleaned 6 different guns and all is smooth.,5,positive,2,short,0,28,sports
"works we'll, easy to clean. hasn't rusted like other cheap brands that i've bought in the past, would buy again",5,positive,2,short,0,20,home
"this is a great trigger lock that serves the purpose of keeping accidents from happening. nothing can prevent better than a safe, but this is an extra precaution. i",4,positive,2,short,0,29,sports
"we bought two one for my bike and another for my son't bike. my son's unit works fine, but my unit quit working within two months. the part that goes on to the fork sensor isn't sensing any more. i know, it isn't expensive, but i hate to throw away the entire unit when the real computer is doing fine.the product is adequate for what it is intended for. it has more features than i was hoping for when i bought it. installation is easy. learning to use it is a little bit challenge due to the poor manual, but you'll quickly figure it out.i will certainly recommend it, but be prepared for it to die prematurely. in my case it died just before i was to venture on a training ride not a good timing. you see, i depend heavily on this and my turn lists to figure out the training ride route. without the distance assistance, i had to constantly check the street signs.i am seriously thinking of buying the same model to replace the broken one.",4,positive,2,long,2,179,sports
"i picked up one of these knives as a work knife for my hunting lease. i used it all this past season and was impressed. very sharp, and so light it almost feels like a toy. it cut burlap, canvas, camo netting, 550 cord and other assorted rope effortlessly. it wouldn't be appropriate for chopping too light , but it's definitely a cutter. it would be great as a tackle box knife and i'm sure it would be satisfactory for self defense if necessary. a few minor criticisms the serrated edge portion of the blade is so small its essentially worthless. i'm not a fan of serrated edges on knives to begin with if i had it to do over again i'd buy the plain blade. my other criticism is that the sheath feels flimsy, i would much prefer kydex or even leather. this would be an ideal fixed blade knife for kids or adults with smaller hands. i'm becoming more of a sog fan than i ever expected to be. i prefer a heavier knife and bought a sog super bowie 2.0 fabulous blade! . all in all, a great knife for the price. i would recommend it.",4,positive,2,long,2,199,sports
"tongs are the most useful tool in my kitchen. i use them to stir fry, turn hot foods on the grill, hold meat while i slice it, etc. etc.the rubber handles put these tongs over the top. get 'em greasy, get 'em wet, doesn't matter, they won't slip. another bonus where other tongs get too hot these are fine because the rubber stays cool. you can safely use these to fish things out from a pot of boiling water! try that with a pair of all metal tongs... ouch!i also like the ability to lock them in the closed position. you will not regret buying these tongs.",5,positive,2,long,2,107,home
"this is your basic handgun cleaning kit. the patches are a little too small and go quickly, so i bought a bag of cleaning patches after the first use. it comes with a cleaning oil combination liquid, but i also purchased some hoppes cleaning solution and used the liquid the kit came with just for oiling.it's a good cheap kit to get you started. i've used it to clean a 38special, 9mm, and a .380.",4,positive,2,medium,1,75,sports
"first of all, i must start out by saying that i am a little surprised that this little mechanical device is even necessary with all of the technological advances out there these days. the hl 10 is kind of a throw back to the seventies in terms of its jerry rigging function. having said this... plantronics builds quality stuff and i am sure that there is a good reason for it. the device does exactly what it is supposed to do once you adjust it for your individual phone. i was a little concern that it would fit my phone but they include plenty of adjustment options to take care of any setup. i am using it with a plantronics cs351n headset which i love for it professional wireless function. i tested the hl 10 by picking up hanging up the headset 10 times in sucession and the lifter raised and lowered the receiver successfully each time. that was good enough for me. definitely worth the if you own a wireless headset and you roam around the house office while talking on the phone.",4,positive,2,long,2,184,cellphones
"just a note many of the previous negative comments about bending handles are based on an older version.this updated design is very sturdy and very heavy! this set is much heavier than my other stainless steel set i own, to which i'll compare this set. these are almost a little too heavy clunky for my liking.if you're familiar with oxo brand you know about the rubber grip handles. i find those a positive on a tool like a can opener but on these more of a drawback. i for one do not feel 'grip' is an important factor on measuring scoops. it also tends to collect things, like flour. i'm the sort of person to just do a rinse wipe if i'm measuring dry goods and throw them back in the drawer,but can't always with these due to the sticky nature of the handles.i also prefer my other set without the tapered design. it's hard to estimate a partial measure like half a cup from the one cup scoop if the bottom is tapered like these. this set also doesn't offer any measure markers on the one cup to do so where my other stainless set marks these ie. 3 4c on the largest, 1 cup. i haven't had any tipping issues with the tapering though, probably because of the weight of these.these are nice if you're looking for a heavy duty set of durable measuring cups but overall i prefer my other set. the nice thing about oxo brand, they offer a 100 satisfaction guarantee, so if you're not happy, they'll make sure you are.",3,neutral,1,long,2,266,home
"plantronics is a world leader in ear piece peripherals. they manufacture every imaginable headsets from telephone to gaming. the explorer 330 fits the bill to supplement a bluetooth cellphone and its ease of use and functionality is way superior to a lot of bluetooth headphones out there. i have had mine for about 2 years now and has always worked great. pairing is not a problem for this headset, once the pairing is recorded in the phone, there are no quirks about pairing it when you need to use it. distance wise, it does not conform to the 33ft maximum, but on a personal note, i hardly part the headset with the phone in that distance so it hardly matters according to my intended use. overall happy with this headset as it has exceeded my expectations to great lengths!",5,positive,2,long,2,139,cellphones
"this is my first time going organic and i was nervious. i used to use shampoos and conditioners that had ingredients unkown to me sls and sles . i needed a shampoo and body wash that did not contain either ingredient. i bousght this product because it does not contain neither sls and or sles . this soap works very very very well with my hair. i do not even need an after shampoo conditioner. for me, this soap does both. it cleanses both the hair and scalp and it conditions it. after letting my hair air dry, i can lightly brush it out with no problems. i like using the soap as a body wash, because of acne issues. i have seen less breakouts and my skin does not feel stripped. very good product. however, the product arrived one day late and i was not too happy with that. i hope in the future it will arrive on time. thank you!",5,positive,2,long,2,162,sports
"purchased this to replace an old can opener. this thing rocks. opens cans quickly and easily. does what it is designed to do, and the oxo brand is a lot cheaper than some of the premium brands. don't know if you have to pay a lot for a can opener. a tip might be to clean the blade after you use it, which may help it from gunking up over time. would purchase again.",5,positive,2,medium,1,74,home
"i normally like oxo products but this one is unwieldy even when i'm cooking a pound or two of spaghetti in a big pot. it's hard to describe why it just feels bulky and awkward. also, we store utensils like this vertically and its fat handle takes up too much space. every time i use it or put it away, i regret having lost my normal sized spaghetti spoon.",2,negative,0,medium,1,69,home
"if you had asked me 3 months ago, i would've rated this 5 stars. however, in the last month the device doesn't charge. i've had it look like it was charging with the lights going but then no actual charge. or it just doesn't do anything no matter what charger i plug it into. this is really disappointing because i only bought it 5 months ago.prior to that, it had been working great. i could easily get 2.5 full charges of my iphone 5. it was perfect for travel. i could use it all day, charge it overnight and it was ready to go again the next day.",3,neutral,1,long,2,108,cellphones
this is by far the simplest way to whip down your 12g after a duck hunt. two or three quick swipes and its ready for tomorrows hunt. get on! give them as a gift.,5,positive,2,short,0,34,sports
"i have owned a stanley thermos for years and they were built like a tank and made in the usa. i picked one up a few days ago and was shocked at how light and flimsy it is. while it may look like the old american made stanley, it is just a veneer of it's old self and absolute chinese junk not built to last.i am so disappointed to see once great american companies succumb to the economic pressure of building junk. i would rather they go out of business than ruin their good reputation. don't waste your money as the companies soul died some time ago.",1,negative,0,long,2,107,sports
great potato ricer.i bought it and used it right away.it made a great smooth mashed potato.it is a little too bulky for my taste but it a good tool and it gets the job done,4,positive,2,short,0,35,home
nice to be able to plug it into a door hinge so you don't get snapped. good for arms and great with the different levels of resistance.,5,positive,2,short,0,27,sports
"as far back as i can remember, i used a set of rods that one screwed together with fitting for the end for a wire brush or a swab. the hoppe's boresnake does all the cleaning in one easy step. one just opens the breach or locks the slide in the open position, dangles the weight down the bore and then pulls it though. the snake is fitted based on caliber, so be certain to purchase the correct one. the snake has the wire brush built in, so it drags our the burnt power and barrel debris while buffing right behind it. i will never use anything else. it makes cleaning a breeze. back in the day, after a day of shooting, i might clean all my guns a day or two later. with the hoppe's boresnake, i take the snakes with me in my gun box and clean them on site before i go home. the boresnake makes cleaning pistols and rifles a breeze. no regrets other than i wish they had come up with this 25 years ago!",5,positive,2,long,2,180,sports
"it's difficult for me to find a comfortable headset and before i bought this motorola, i was using the plantronics voyager 510. the sound quality of the plantronics was quite good compared to many wasted dollars headsets i've owned in the past, but the bulkiness of the over the ear arm caused the voyager to keep falling off my ear while i'm on a call. not a good thing to happen while i'm driving!i'm so relieved to find this particular headset. it's very lightweight, comfortable and sits securely on my ear. a great solution for those who can't tolerate in the ear type headsets. the h721 folds up to shut off the device whereas the plantronics headset required me to press down hard on a tiny, tiny button to switch it on off.i paired the motorola headset with my lg env3 with no problem. sound quality was fine during phone conversations, for both sides of the call.",5,positive,2,long,2,157,cellphones
"this is my first bluetooth headset so i don't have anything to compare it to, but so far it seems to be pretty good. it's small, very lightweight, and comfortable. it's hard to judge the comfort of this device unless you try it yourself because everyone's ear and head are different.i'm using it with a motorola razr v3m from verizon. it paired easily and quickly. the connection is a little crackly even right next to the phone, which surprised me, but it's not so bad that it takes away from a conversation. naturally, the further you get from your phone the reception deteriorates. volume and clarity are fine and sound just like holding my phone up to my ear.overall it's a good headset and fine for my purposes. only a few drawbacks the volume and call buttons are a little hard to manipulate, and it would be nice if the unit could be held tighter against my head.",4,positive,2,long,2,158,cellphones
this soap leaves you feeling clean and refreshed like no other! i bought this after using some at a friend's house in his outdoor shower. i have never felt so clean!!!,5,positive,2,short,0,31,sports
"i have to confess, i got these for my dogs. i needed a few more dollars to get free shipping, so i bought them. they are well made, durable and clean up easily. i have large dogs and they can shred things with ease. the felt is of good quality and stand up to their teeth. i bet they are good for tennis, too.",4,positive,2,medium,1,64,sports
